Name,Crossing Number,Jones,Volume,Meridian Length,Mosaic/Tile-Number
3_1,3,t+ t^3-t^4,0,Not Hyperbolic,{ 4 ; 12 }
9_5,9,t-2*t^2+ 3*t^3-3*t^4+ 4*t^5-3*t^6+ 3*t^7-2*t^8+ t^9-t^10,5.6984417509,1.5227712,{ 6 ; 22 }
9_6,9,t^3-t^4+ 3*t^5-3*t^6+ 4*t^7-5*t^8+ 4*t^9-3*t^10+ 2*t^11-t^12,7.2036007616,1.258916899,{ 7 ; 27 }
9_7,9,t^2-t^3+ 3*t^4-4*t^5+ 5*t^6-5*t^7+ 4*t^8-3*t^9+ 2*t^10-t^11,8.0148614578,1.290477673,{ 6 ; 27 }
9_8,9,t^(-3)-2*t^(-2)+ 3*t^(-1)-4+ 5*t-5*t^2+ 5*t^3-3*t^4+ 2*t^5-t^6,8.1923479624,1.308048253,{ 6 ; 24 }
9_9,9,t^3-t^4+ 3*t^5-4*t^6+ 5*t^7-5*t^8+ 5*t^9-4*t^10+ 2*t^11-t^12,8.0168155656,1.413912351,{ 6 ; 27 }
9_10,9,t^2-2*t^3+ 4*t^4-5*t^5+ 6*t^6-5*t^7+ 5*t^8-3*t^9+ t^10-t^11,8.7734572820,1.372323578,{ 6 ; 27 }
9_11,9,-t^(-9)+ 2*t^(-8)-4*t^(-7)+ 5*t^(-6)-5*t^(-5)+ 6*t^(-4)-4*t^(-3)+ 3*t^(-2)-2*t^(-1)+ 1,8.2885890428,1.257193895,{ 6 ; 24 }
9_12,9,t^(-1)-2+ 4*t-5*t^2+ 6*t^3-6*t^4+ 5*t^5-3*t^6+ 2*t^7-t^8,8.8366423438,1.28084975,{ 6 ; 24 }
9_13,9,t^2-2*t^3+ 4*t^4-5*t^5+ 7*t^6-6*t^7+ 5*t^8-4*t^9+ 2*t^10-t^11,9.1350940379,1.381511113,{ 6 ; 27 }
9_14,9,t^(-6)-2*t^(-5)+ 3*t^(-4)-5*t^(-3)+ 6*t^(-2)-6*t^(-1)+ 6-4*t+ 3*t^2-t^3,8.9549892620,1.277110989,{ 6 ; 24 }
9_15,9,-t^(-8)+ 2*t^(-7)-4*t^(-6)+ 6*t^(-5)-6*t^(-4)+ 7*t^(-3)-6*t^(-2)+ 4*t^(-1)-2+ t,9.8854986603,1.245774125,{ 7 ; 27 }
9_16,9,t^3-t^4+ 4*t^5-5*t^6+ 6*t^7-7*t^8+ 6*t^9-5*t^10+ 3*t^11-t^12,9.8830069600,1.3945288,{ 6 ; 29 }
9_17,9,t^(-3)-2*t^(-2)+ 4*t^(-1)-5+ 6*t-7*t^2+ 6*t^3-4*t^4+ 3*t^5-t^6,9.4745804534,1.332953362,{ 6 ; 24 }
9_18,9,t^2-2*t^3+ 5*t^4-6*t^5+ 7*t^6-7*t^7+ 6*t^8-4*t^9+ 2*t^10-t^11,10.0577296355,1.239739028,{ 7 ; 27 }
9_19,9,t^(-4)-2*t^(-3)+ 4*t^(-2)-6*t^(-1)+ 7-7*t+ 6*t^2-4*t^3+ 3*t^4-t^5,10.0325474478,1.254470298,{ 6 ; 24 }
9_20,9,1-2*t+ 4*t^2-5*t^3+ 7*t^4-7*t^5+ 6*t^6-5*t^7+ 3*t^8-t^9,9.6443040738,1.307595118,{ 6 ; 22 }
9_21,9,-t^(-8)+ 2*t^(-7)-4*t^(-6)+ 6*t^(-5)-7*t^(-4)+ 8*t^(-3)-6*t^(-2)+ 5*t^(-1)-3+ t,10.1832655356,1.241175713,{ 6 ; 24 }
9_22,9,t^(-3)-2*t^(-2)+ 4*t^(-1)-6+ 7*t-7*t^2+ 7*t^3-5*t^4+ 3*t^5-t^6,10.6207270212,1.318188233,{ 7 ; 29 }
9_23,9,t^2-2*t^3+ 5*t^4-6*t^5+ 8*t^6-8*t^7+ 6*t^8-5*t^9+ 3*t^10-t^11,10.6113482940,1.246574136,{ 6 ; 24 }
9_24,9,t^(-4)-3*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 8-7*t+ 7*t^2-4*t^3+ 2*t^4-t^5,10.8337291089,1.309348624,{ 6 ; 27 }
9_25,9,t^(-1)-2+ 5*t-7*t^2+ 8*t^3-8*t^4+ 7*t^5-5*t^6+ 3*t^7-t^8,11.3903051477,1.274098713,{ 7 ; 29 }
